game	M1_v0.7.8a6	10yard	\N	\N	\N	\N	\N	10-Yard Fight (World) [sound only]	1983	Irem	\N	\N	Irem M62	
game_rom	M1_v0.7.8a6	ptblank	gn1-spr0.bin	\N	\N	131072	6836ba38	6ea17ea4bbb59be108e8887acd7871409580732f	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ptblank	pr1data.8k	\N	\N	524288	2e5767a4	390bf05c90044d841fe2dd4a427177fa1570b9a6	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ptblank	gn1-voi0.bin	\N	\N	2097152	05477eb7	f2eaacb5dbac06c37c56b9b131230c9cf6602221	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	ptblank2	\N	\N	\N	\N	\N	Point Blank 2 (GNB5/VER.A) [sound only]	1999	Namco	\N	\N	Namco System 12	
game_rom	M1_v0.7.8a6	ptblank2	gnb5vera.11s	\N	\N	524288	d45a53eb	01eb4f659b29671d417c5d3684f15a5876f76009	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ptblank2	gnb1wave.ic2	\N	\N	4194304	4e19d9d6	0a92c987536999a789663a30c787950ab6995128	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	ptblnk2a	\N	\N	\N	\N	\N	Point Blank 2 (GNB3/VER.A) [sound only]	1999	Namco	\N	\N	Namco System 22	
game_rom	M1_v0.7.8a6	ptblnk2a	gnb1vera.6d	\N	\N	262144	6461ae77	1377b716a69ef9d4d2e48083d23f22bd5c103c00	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ptblnk2a	pr1data.8k	\N	\N	524288	2e5767a4	390bf05c90044d841fe2dd4a427177fa1570b9a6	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	ptblnk2a	gnb1wave.8k	\N	\N	4194304	4e19d9d6	0a92c987536999a789663a30c787950ab6995128	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	puchicar	\N	\N	\N	\N	\N	Puchi Carat (Ver 2.02O 1997/10/29) [sound only]	1997	Taito Corporation	\N	\N	F3/Super Z/JC Systems	
game_rom	M1_v0.7.8a6	puchicar	e46-21	\N	\N	262144	b466cff6	0757984f15a6ac9939c1e8625d5b9bfcbc788acc	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	puchicar	e46-22	\N	\N	262144	c67b767e	19f3db6615d7a6ed4d2636b6beabe2f3ed6d0c38	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	puchicar	e46-16	\N	\N	524288	cf2accdf	b1e9808299a3c68c939009275108ee76cd7f5749	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	puchicar	e46-15	\N	\N	524288	c32c6ed8	b0c4cca836e6957ecabdaddff23439f9d038a161	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	puchicar	e46-14	\N	\N	524288	a154c300	177d9f3514f1e59a1036b979d2ab969249f519ca	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	puchicar	e46-18	\N	\N	524288	396e3122	1000bfe22f783f7121a261d37551bde5687fff8b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	puchicar	e46-09	\N	\N	2097152	824135f8	13e9edeac38e63fa27d9fd7892d51c216f36ec30	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	puchicar	e46-07	\N	\N	2097152	f20af91e	86040ff7ce591418b32c06c3a02fabcbe76281f5	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	puchicar	e46-08	\N	\N	2097152	f7f96e1d	8a83ea9036e8647b8dec6b5e144288ed9c025779	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	pulirula	\N	\N	\N	\N	\N	PuLiRuLa (World) [sound only]	1991	Taito Corporation Japan	\N	\N	Taito AIR/B/Dual68k/H/F2 Systems	
game_rom	M1_v0.7.8a6	pulirula	c98-14.rom	\N	\N	131072	a858e17c	4389f43035a94e776a25350a8989dcfdb3e4675a	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	pulirula	c98-01.rom	\N	\N	1048576	197f66f5	cc5d104033f9ab7d614afd47eeb61a22ef5714ea	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	pulstar	\N	\N	\N	\N	\N	Pulstar [sound only]	1995	Aicom	\N	\N	Neo Geo	
game_rom	M1_v0.7.8a6	pulstar	089-m1.bin	\N	\N	131072	ff3df7c7	59d2ef64f734f6026073b365300221909057a512	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	pulstar	089-v1.bin	\N	\N	4194304	b458ded2	75d659ecb1fd6002188f469fcaafc9907440e624	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	pulstar	089-v2.bin	\N	\N	4194304	9d2db551	83f7e5db7fb1502ceadcd334df90b11b1bba78e5	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	punisher	\N	\N	\N	\N	\N	The Punisher (World 930422) [sound only]	1993	Capcom	\N	\N	Capcom QSound (CPS version)	
game_rom	M1_v0.7.8a6	punisher	ps_q.rom	\N	\N	131072	49ff4446	87af12f87a940a6c5428b4574ad44a4b54867bc3	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	punisher	ps_q1.rom	\N	\N	524288	31fd8726	1d73a76682e9fb908db0c55b9a18163f7539fea1	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	punisher	ps_q2.rom	\N	\N	524288	980a9eef	36571381f349bc726508a7e618ba1c635ec9d271	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	punisher	ps_q3.rom	\N	\N	524288	0dd44491	903cea1d7f3120545ea3229d30fbd687d11ad68f	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	punisher	ps_q4.rom	\N	\N	524288	bed42f03	21302f7e75f9c795392a3b34e16a959fc5f6e4e9	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	punkshot	\N	\N	\N	\N	\N	Punk Shot (US 4 Players) [sound only]	1990	Konami	\N	\N	Punk Shot	
game_rom	M1_v0.7.8a6	punkshot	907f01.e8	\N	\N	32768	f040c484	f76a739cacc0aba98a5bf85a48c81cef0d9bbfb4	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	punkshot	907d04.d3	\N	\N	524288	090feb5e	2394907b62ff0724c277642caf6375239249e2d7	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	puzlclub	\N	\N	\N	\N	\N	Puzzle Club (Japan prototype) [sound only]	1990	Namco	\N	\N	Namco System 1	
game_rom	M1_v0.7.8a6	puzlclub	pc1_s0.bin	\N	\N	65536	44737c02	bcacfed1c3522d6ecddd3ac79ded620e5334df35	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	puzldama	\N	\N	\N	\N	\N	Taisen Puzzle-dama (ver JAA) [sound only]	1994	Konami	\N	\N	System GX	
game_rom	M1_v0.7.8a6	puzldama	315a06.9c	\N	\N	131072	06580a9f	75e13aa13e3c1060cdd630c101d6644b3904317f	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	puzldama	315a07.7c	\N	\N	131072	431c58f3	4888e305875d56cca5e1d792bdf27e57b3e42b03	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	puzldama	315a17.9g	\N	\N	2097152	ea763d61	2a7dcb2a2a23c9fea62fb82ffc18949bf15b9f6f	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	puzldama	315a18.7g	\N	\N	2097152	6e416cee	145a766ad2fa2b692692053dd36e0caf51d67a56	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	puzzledp	\N	\N	\N	\N	\N	Puzzle De Pon! [sound only]	1995	Taito (Visco license)	\N	\N	Neo Geo	
game_rom	M1_v0.7.8a6	puzzledp	202-m1.bin	\N	\N	131072	9c0291ea	3fa67c62acba79be6b3a98cc1601e45569fa11ae	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	puzzledp	202-v1.bin	\N	\N	524288	debeb8fb	49a3d3578c087f1a0050168571ef8d1b08c5dc05	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	pwheelsj	\N	\N	\N	\N	\N	Power Wheels (Japan) [sound only]	1991	Taito Corporation	\N	\N	Taito Z System	
game_rom	M1_v0.7.8a6	pwheelsj	c78-32.42	\N	\N	131072	1494199c	f6b6ccaadbc5440f9342750a79ebc00c019ef355	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	pwheelsj	c78-03.31	\N	\N	524288	9b926a2f	cc2d612441a5cc587e097bb8380b56753b9a4f7c	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	pwheelsj	c78-01.33	\N	\N	1048576	90ff1e72	6115e3683bc701922953b644427d1ddb471bf037	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	pwheelsj	c78-02.46	\N	\N	524288	8882d2b7	4d3abac1e50cd5ae79a562f430563032a11e8390	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	pwrgoal	\N	\N	\N	\N	\N	Taito Power Goal (Ver 2.5O 1994/11/03) [sound only]	1994	Taito Corporation Japan	\N	\N	F3/Super Z/JC Systems	
game_rom	M1_v0.7.8a6	pwrgoal	d94-19.bin	\N	\N	262144	c93dbcf4	413520e652d809651aff9b1b74e6353112d34c12	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	pwrgoal	d94-20.bin	\N	\N	262144	f232bf64	bbfeae0785fc49c12aa6d9b1bd6ff7c8515f8fe7	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	pwrgoal	d94-18.bin	\N	\N	262144	b92681c3	0ca05a69d046668c878df3d2b7ae3172d748e290	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	pwrgoal	d94-17.bin	\N	\N	262144	6009333e	4ab28f2d9e2b75adc668f5d9390e06086bbd97dc	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	pwrgoal	d94-16.bin	\N	\N	262144	c6dbc9c8	4f096b59734db51eeddcf0649f2a6f11bdde9590	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	pwrgoal	d94-22.rom	\N	\N	262144	f672e487	da62afc82aeae4aeeebbee0965cda3d84464ad09	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	pwrgoal	d94-10.bin	\N	\N	2097152	a22563ae	85f2a4ca5e085ac1d4c15feb737229764697ae85	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	pwrgoal	d94-11.bin	\N	\N	2097152	61ed83fa	f6ca60b7af61fd3ac01a987f949d7a7bc96e43ff	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	pzloop2	\N	\N	\N	\N	\N	Puzz Loop 2 (Euro 010302) [sound only]	2001	Mitchell, distributed by Capcom	\N	\N	Capcom QSound (CPS version)	
game_rom	M1_v0.7.8a6	pzloop2	pl2.01	\N	\N	131072	35697569	13718923cffb9ec53cef9e22d8875370b5f3dd74	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	pzloop2	pl2-simm.05a	\N	\N	2097152	85d8fbe8	c19d5e9084d07e610379b6e1b6be7bdf0b9b7f7f	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	pzloop2	pl2-simm.05b	\N	\N	2097152	1ed62584	28411f610f48cca6424a2d53e2a4ac691e826317	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	qad	\N	\N	\N	\N	\N	Quiz and Dragons (US 920701) [sound only]	1992	Capcom	\N	\N	CPS-1	
game_rom	M1_v0.7.8a6	qad	qdu_23.rom	\N	\N	65536	cfb5264b	e662ed5555d02ccf4e62cdbcfa0bbfc019734ee1	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	qad	qdu_30.rom	\N	\N	131072	f190da84	d5cd4c69b5d135a2f2fea8ca9631251c9da79e70	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	qad	qdu_31.rom	\N	\N	131072	b7583f73	3896e0fcf375e9e5d9ba70cc1ed001cd702f9ff7	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	qadj	\N	\N	qad	qad	\N	Quiz and Dragons (Japan 940921) [sound only]	1994	Capcom	\N	\N	CPS-1	
game_rom	M1_v0.7.8a6	qadj	qad09.bin	\N	\N	65536	733161cc	dfb8c5a1037bd3b2712fb327122ec39ceb993b8d	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	qadj	qad18.bin	\N	\N	131072	2bfe6f6a	b2a98ac034c65b7ac8167431f05f35d4799032ea	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	qadj	qad19.bin	\N	\N	131072	13d3236b	785d49de484e9ac6971eaceebebfecb8e58563f6	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	qcrayon	\N	\N	\N	\N	\N	Quiz Crayon Shinchan (Japan) [sound only]	1993	Taito Corporation	\N	\N	Taito AIR/B/Dual68k/H/F2 Systems	
game_rom	M1_v0.7.8a6	qcrayon	d55-15	\N	\N	65536	ba782eff	ce24654db49b9694e444e93b9a8d529a86729e03	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	qcrayon	d55-01	\N	\N	1048576	a8309af4	dc30b2e019003c58aecaf899668b36dea6e1274e	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	qcrayon2	\N	\N	\N	\N	\N	Crayon Shinchan Orato Asobo (Japan) [sound only]	1993	Taito Corporation	\N	\N	Taito AIR/B/Dual68k/H/F2 Systems	
game_rom	M1_v0.7.8a6	qcrayon2	d63-11	\N	\N	65536	2c7ac9e5	2477fb4415781afddc2f4084eca52f53b7d40480	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	qcrayon2	d63-02	\N	\N	1048576	162ae165	8b503d096640ec91cf55e05374b293937965c672	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	qgakumon	\N	\N	\N	\N	\N	Quiz Gakumon no Susume (Japan ver. JA2 Type L) [sound only]	1993	Konami	\N	\N	Sunset Riders	
game_rom	M1_v0.7.8a6	qgakumon	248a01.2f	\N	\N	65536	a8a41cc6	ad0d73bbdaacb8d5d0c7971ec4357eec665ee7cf	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	qgakumon	248a06.1d	\N	\N	2097152	0fba1def	f2ba23213effd06f14c7a179acea974c78c2198f	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	qjinsei	\N	\N	\N	\N	\N	Quiz Jinsei Gekijoh (Japan) [sound only]	1992	Taito Corporation	\N	\N	Taito AIR/B/Dual68k/H/F2 Systems	
game_rom	M1_v0.7.8a6	qjinsei	d48-11	\N	\N	65536	656c5b54	650bcc5920838db5c6613bcf30468d6e296ea017	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	qjinsei	d48-05	\N	\N	524288	3fefd058	338c35c3a086041d28708d4b17e208b590c926d5	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	qndream	\N	\N	\N	\N	\N	Quiz Nanairo Dreams: Nijiirochou no Kiseki (Japan 960826) [sound only]	1996	Capcom	\N	\N	Capcom QSound (CPS version)	
game_rom	M1_v0.7.8a6	qndream	tqz.01	\N	\N	131072	e9ce9d0a	29f2987788e914e0a55f9130a99e411d15a7cc9b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	qndream	tqz.11m	\N	\N	2097152	78e7884f	82fbbf704ac4bc0e0e7a6f407686861aa3693c23	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	qndream	tqz.12m	\N	\N	2097152	2e049b13	e026f444b905e679e8240c7dd371658c4a3fd713	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	qtono2	\N	\N	\N	\N	\N	Quiz Tonosama no Yabou 2 Zenkoku-ban (Japan 950123) [sound only]	1995	Capcom	\N	\N	CPS-1	
game_rom	M1_v0.7.8a6	qtono2	tn2j-09.12a	\N	\N	32768	6d8edcef	9ec2d64278b30cc4316238c3efee663a8bbb255e	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	qtono2	tn2j-18.11c	\N	\N	131072	a40bf9a7	07cb1076262a281e31a621cbcc10be0cae883175	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	qtono2	tn2j-19.12c	\N	\N	131072	5b3b931e	cf28891f84814cbfaa3adaade8bb08b1e0546a3d	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	qtorimon	\N	\N	\N	\N	\N	Quiz Torimonochou (Japan) [sound only]	1990	Taito Corporation	\N	\N	Taito AIR/B/Dual68k/H/F2 Systems	
game_rom	M1_v0.7.8a6	qtorimon	c41-06.bin	\N	\N	65536	753a98d8	a832a4789194a67a2201da4e4484ab08210e5ccc	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	qtorimon	c41-03.bin	\N	\N	131072	b2c18e89	32eca1721cd8f47e9a6dcb553208ddd0daa67f83	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	quartet	\N	\N	\N	\N	\N	Quartet (Rev A, 8751 315-5194) [sound only]	1986	Sega	\N	\N	System 16 (sound type 2)	
game_rom	M1_v0.7.8a6	quartet	epr-7464.1b	\N	\N	32768	9f291306	96a09542a863ccf2ded43e2df6f913722b3f97b1	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quartet	7751.bin	\N	\N	1024	6a9534fc	67ad94674db5c2aab75785668f610f6f4eccd158	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quartet	epr-7473.1c	\N	\N	32768	06ec75fa	5f14bc887449122700c46ad22c0379a1682e0bdb	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quartet	epr-7475.2c	\N	\N	32768	7abd1206	54d52dc0b9c245cd2df647e714310a71b803cbcf	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quartet	epr-7474.3c	\N	\N	32768	dbf853b8	e82f497e1144f23f3233b5c45ef182bfc7923715	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quartet	epr-7476.4c	\N	\N	32768	5eba655a	6713ef12037cba3139d0f469c82bd90b44bae8ce	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	quester	\N	\N	\N	\N	\N	Quester (Japan) [sound only]	1987	Namco	\N	\N	Namco System 1	
game_rom	M1_v0.7.8a6	quester	qs1_s0.bin	\N	\N	65536	c2ef3af9	aa0766aad450660e216d817e41e030141e8d1f48	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	quiz18k	\N	\N	\N	\N	\N	Miyasu Nonki no Quiz 18-Kin [sound only]	1992	EIM	\N	\N	Super Slams	
game_rom	M1_v0.7.8a6	quiz18k	3-ic144.bin	\N	\N	131072	72d372e3	d077e34947de1050b68d76506cc8926b06a94a76	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quiz18k	ic126.bin	\N	\N	262144	7a92fbc9	c13be1e84fc8e74c85d25d3357e078bc9e264682	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quiz18k	ic123.bin	\N	\N	524288	ee4995cf	1b47938ddc87709f8d118b86fe62602972c77ced	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quiz18k	ic124.bin	\N	\N	262144	076f58c3	bd78f39b85b2697e733896705355e21b8d2a141d	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	quizdai2	\N	\N	\N	\N	\N	Quiz Meitantei Neo and Geo - Quiz Daisousa Sen part 2 [sound only]	1992	SNK	\N	\N	Neo Geo	
game_rom	M1_v0.7.8a6	quizdai2	042-m1.bin	\N	\N	131072	bb19995d	ed458fad5a23c6bd0d099927d98c31e1e6562d1b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizdai2	042-v1.bin	\N	\N	1048576	af7f8247	99a47014017c20e4e22010c60612b6b7f6efc9e5	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizdai2	042-v2.bin	\N	\N	1048576	c6474b59	a6c5054032b698116247b2f09a8b94a1b588c4f1	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	quizdais	\N	\N	\N	\N	\N	Quiz Daisousa Sen - The Last Count Down [sound only]	1991	SNK	\N	\N	Neo Geo	
game_rom	M1_v0.7.8a6	quizdais	023-m1.bin	\N	\N	131072	2a2105e0	26fc13556fda2dbeb7b5b035abd994e302dc7662	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizdais	023-v1.bin	\N	\N	1048576	a53e5bd3	cf115c6478ce155d889e6a5acb962339e08e024b	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	quizf1	\N	\N	\N	\N	\N	Quiz F-1 1,2finish [sound only]	1992	Irem	\N	\N	Irem M72/M81/M83/M97/M99	
game_rom	M1_v0.7.8a6	quizf1	qf1-sp-.33	\N	\N	65536	0664fa9f	db003beb4f8461bf4411efa8df9f700770fb153b	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	quizhq	\N	\N	\N	\N	\N	Quiz H.Q. (Japan) [sound only]	1990	Taito Corporation	\N	\N	Taito AIR/B/Dual68k/H/F2 Systems	
game_rom	M1_v0.7.8a6	quizhq	c53-08.bin	\N	\N	65536	25187e81	c549fbfff6963be93aaf349b240f15b1d578d1f1	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizhq	c53-04.bin	\N	\N	131072	99890ad4	c9be9d21dc72059c39de81e1b73849cc77d6b95d	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	quizhuhu	\N	\N	\N	\N	\N	Moriguchi Hiroko no Quiz de Hyuu!Hyuu! (Ver 2.2J 1995/05/25) [sound only]	1995	Taito Corporation	\N	\N	F3/Super Z/JC Systems	
game_rom	M1_v0.7.8a6	quizhuhu	e08-18.32	\N	\N	131072	e695497e	9d845b4c0bd9b40471fb4b5ab2f9240058bc324f	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizhuhu	e08-17.33	\N	\N	131072	fafc7e4e	26f46d5900fbf26d25651e7e818e486fc7a878ec	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizhuhu	e08-16.20	\N	\N	524288	faa8f373	e263b058288fcacf9b15188ab78e8fb05a8971a7	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizhuhu	e08-15.19	\N	\N	524288	23acf231	a87933439b3d1d92f8b9d545b13f20cc47a7fd4e	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizhuhu	e08-14.18	\N	\N	524288	33a4951d	69e8fe994f620ce056cdedca77bff1d0c6e74483	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizhuhu	e08-13.17	\N	\N	524288	0936fd2a	f0f7017c755b28644b67b4fd6d5e19c272e9c3a2	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizhuhu	e08-07.38	\N	\N	2097152	c05dc85b	d46ae3f066bbe041edde40358dd54f93e8e195de	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizhuhu	e08-08.39	\N	\N	2097152	3eb94a99	e6e8832e87397811dfc40525f2a15fc0415cec68	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizhuhu	e08-09.41	\N	\N	2097152	200b26ee	c689d0a1c1f5d71e0af3d94073b29d3619187c5f	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	quizkof	\N	\N	\N	\N	\N	Quiz King of Fighters [sound only]	1995	Saurus	\N	\N	Neo Geo	
game_rom	M1_v0.7.8a6	quizkof	080-m1.bin	\N	\N	131072	f5f44172	eaaba1781622901b91bce9257be4e05f84df053b	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizkof	080-v1.bin	\N	\N	2097152	0be18f60	05c8b7d9f5a8583015f31902ad16d9c621f47d4e	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizkof	080-v2.bin	\N	\N	2097152	4abde3ff	0188bfcafa9a1aac302705736a2bcb26b9d684c2	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizkof	080-v3.bin	\N	\N	2097152	f02844e2	8c65ebe146f4ddb6c904f8125cb32767f74c24d5	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	quizmoon	\N	\N	\N	\N	\N	Quiz Bisyoujo Senshi Sailor Moon - Chiryoku Tairyoku Toki no Un [sound only]	1997	Banpresto	\N	\N	Macross Plus	
game_rom	M1_v0.7.8a6	quizmoon	u21.bin	\N	\N	131072	6fc625c6	542bc025cf0e37686eae5d6c80bc5e047d6389fd	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizmoon	u20.bin	\N	\N	131072	d7ad1ffb	9d375285628b32296c93456a00bc005a3f40ce38	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizmoon	u26.bin	\N	\N	4194304	6c8f30d4	7e215589e4a52cbce7f2bb31b333f874a9f83d00	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizmoon	u24.bin	\N	\N	4194304	5b12d0b1	c5ddff2053148a1da0710a10f48689bf5c736ae4	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizmoon	u27.bin	\N	\N	4194304	bd75d165	2da770d15c812cbfdb4e3048d320071edffccfa1	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quizmoon	u25.bin	\N	\N	4194304	3b9689bc	0857c3d3e9810f9468f7c17f8b795825c55a9f08	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	quiztou	\N	\N	\N	\N	\N	Nettou! Gekitou! Quiztou!! (Japan) [sound only]	1993	Namco	\N	\N	Namco NA-1/2	
game_rom	M1_v0.7.8a6	quiztou	qt1ep0l.6c	\N	\N	524288	b680e543	f10f38113a46c821d8e9d66f52d7311d9d52e595	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quiztou	qt1ep0u.6f	\N	\N	524288	143c5e4d	24c584986c97a5e6fe7e73f0e9af4af28ed20c4a	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	quiztou	c69.bin	\N	\N	16384	349134d9	61a4981fc2716c228b6121fedcbf1ed6f34dc2de	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	qzchikyu	\N	\N	\N	\N	\N	Quiz Chikyu Bouei Gun (Japan) [sound only]	1991	Taito Corporation	\N	\N	Taito AIR/B/Dual68k/H/F2 Systems	
game_rom	M1_v0.7.8a6	qzchikyu	d19-07.5	\N	\N	65536	a8935f84	6f264cf7a52dfb8248b8aeb4ff34477d7ccb0b6d	\N	\N	\N	\N	\N	\N	
game_rom	M1_v0.7.8a6	qzchikyu	d19-04.9	\N	\N	524288	d3c44905	d00bd4f11523b2123383dd852ee5484d907ff904	\N	\N	\N	\N	\N	\N	
game	M1_v0.7.8a6	qzquest	\N	\N	\N	\N	\N	Quiz Quest - Hime to Yuusha no Monogatari (Japan) [sound only]	1991	Taito Corporation	\N	\N	Taito AIR/B/Dual68k/H/F2 Systems	
game_rom	M1_v0.7.8a6	qzquest	c92-07.5	\N	\N	65536	3e313db9	44f781c7d3df8eacd745dc0af180cec9e1164b89	\N	\N	\N	\N	\N	\N	
