game	Hoot_20011002	1941	\N	\N	\N	\N	\N	1941 [sound only]	1990	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	hwchamp	s-prog.bin	\N	\N	32768	96a12d9d	f4ba70c3b5d80a1b6a187c940b922d5182d5ab12	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	hwchamp	speech0.bin	\N	\N	131072	4191c03d	40809fb80527980015d3b5c4ca7cf159bc09cf5a	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	hwchamp	speech1.bin	\N	\N	131072	a4d53f7b	71123a8ecfa093897c6f2bb7312e6c755be14521	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	imsorryj	\N	\N	\N	\N	\N	I'm sorry [sound only]	1985	Coreland / Sega	\N	\N	\N	
game_rom	Hoot_20011002	imsorryj	6656.120	\N	\N	8192	25e3d685	a0267d6533af6ff5bf76b9858f2913821a915baf	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	kabukikl	\N	\N	\N	\N	\N	Kabuki Klash [sound only]	1995	Hudson	\N	\N	\N	
game_rom	Hoot_20011002	kabukikl	klash_m1.rom	\N	\N	131072	91957ef6	7b6907532a0e02ceb643623cbd689cf228776ed1	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kabukikl	klash_v1.rom	\N	\N	2097152	69e90596	1a2007d7784b3ce90d115980c3353862f1664d45	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kabukikl	klash_v2.rom	\N	\N	2097152	7abdb75d	0bff764889fe02f37877514c7fc450250839f632	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kabukikl	klash_v3.rom	\N	\N	2097152	eccc98d3	b0dfbdb1ea045cb961323ac6906ab342256c3dc7	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kabukikl	klash_v4.rom	\N	\N	1048576	a7c9c949	574bc55b45e81ce357b14f5992426115de25cd35	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	kikikaik	\N	\N	\N	\N	\N	Kikikaikai [sound only]	1986	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	kikikaik	a85-11.rom	\N	\N	32768	cc3539db	4239a40fdee65cba613e4b4ec54cf7899480e366	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	kod	\N	\N	\N	\N	\N	The King of Dragons [sound only]	1991	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	kod	kod09.rom	\N	\N	65536	f5514510	07e9c836adf9ef2f7e7729e99015f71e3b5f16e0	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kod	kod18.rom	\N	\N	131072	69ecb2c8	fadf266b6b20bd6329a3e638918c5a3106413476	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kod	kod19.rom	\N	\N	131072	02d851c1	c959a6fc3e7d893557f319debae91f28471f4be2	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	kof94	\N	\N	\N	\N	\N	The King Of Fighters '94 [sound only]	1994	SNK	\N	\N	\N	
game_rom	Hoot_20011002	kof94	kof94_m1.rom	\N	\N	131072	f6e77cf5	292a3e3a4918ffe72bd1c41acb927b91844e035e	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kof94	kof94_v1.rom	\N	\N	2097152	8889596d	c9ce713b720511438dbd3fe3bcc7c246f475c6a2	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kof94	kof94_v2.rom	\N	\N	2097152	25022b27	2b040a831c3c92ac6e4719de38009a0d55b64f6b	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kof94	kof94_v3.rom	\N	\N	2097152	83cf32c0	34a31a37eb10945b5169e96321bcea06eec33a00	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	kof95	\N	\N	\N	\N	\N	The King of Fighters '95 [sound only]	1995	SNK	\N	\N	\N	
game_rom	Hoot_20011002	kof95	kof95_m1.rom	\N	\N	131072	6f2d7429	6f8462e4f07af82a5ca3197895d5dcbb67bdaa61	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kof95	kof95_v1.rom	\N	\N	4194304	21469561	f35c72d31f026efc9e74bc4f198a123999ab3fc3	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kof95	kof95_v2.rom	\N	\N	2097152	b38a2803	dbc2c8606ca09ed7ff20906b022da3cf053b2f09	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kof95	kof95_v3.rom	\N	\N	1048576	d683a338	eb9866b4b286edc09963cb96c43ce0a8fb09adbb	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	kof98	\N	\N	\N	\N	\N	The King of Fighters '98 [sound only]	1998	SNK	\N	\N	\N	
game_rom	Hoot_20011002	kof98	kof98_m1.rom	\N	\N	262144	4e7a6b1b	b54d08f88713ed0271aa06f9f7c9c572ef555b1a	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kof98	kof98_v1.rom	\N	\N	4194304	b9ea8051	49606f64eb249263b3341b4f50cc1763c390b2af	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kof98	kof98_v2.rom	\N	\N	4194304	cc11106e	d3108bc05c9bf041d4236b2fa0c66b013aa8db1b	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kof98	kof98_v3.rom	\N	\N	4194304	044ea4e1	062a2f2e52098d73bc31c9ad66f5db8080395ce8	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kof98	kof98_v4.rom	\N	\N	4194304	7985ea30	54ed5f0324de6164ea81943ebccb3e8d298368ec	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	kof99	\N	\N	\N	\N	\N	The King of Fighters '99 Millenium Battle [sound only]	1999	SNK	\N	\N	\N	
game_rom	Hoot_20011002	kof99	kof99_m1.rom	\N	\N	131072	5e74539c	6f49a9343cbd026b2c6720ff3fa2e5b1f85e80da	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kof99	kof99_v1.rom	\N	\N	4194304	ef2eecc8	8ed13b9db92dba3124bc5ba66e3e275885ece24a	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kof99	kof99_v2.rom	\N	\N	4194304	73e211ca	0e60fa64cab6255d9721e2b4bc22e3de64c874c5	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kof99	kof99_v3.rom	\N	\N	4194304	821901da	c6d4975bfaa19a62ed59126cadf2578c0a5c257f	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	kof99	kof99_v4.rom	\N	\N	2097152	b49e6178	dde6f76e958841e8c99b693e13ced9aa9ef316dc	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	konamigt	\N	\N	\N	\N	\N	Konami GT / RF2 [sound only]	1985	Konami	\N	\N	\N	
game_rom	Hoot_20011002	konamigt	400-a01.fse	\N	\N	256	5827b1e8	fa8cf5f868cfb08bce203baaebb6c4055ee2a000	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	konamigt	400-a02.fse	\N	\N	256	2f44f970	7ab46f9d5d587665782cefc623b8de0124a6d38a	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	konamigt	b09.rom	\N	\N	16384	539d0c49	4c16b07fbd876b6445fc0ec49c3ad5ab1a92cbf6	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	lastblad	\N	\N	\N	\N	\N	Last Blade [sound only]	1997	SNK	\N	\N	\N	
game_rom	Hoot_20011002	lastblad	lb_m1.rom	\N	\N	131072	087628ea	48dcf739bb16699af4ab8ed632b7dcb25e470e06	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	lastblad	lb_v1.rom	\N	\N	4194304	ed66b76f	8a05ff06d9b6f01c6c16b3026282eaabb0e25b44	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	lastblad	lb_v2.rom	\N	\N	4194304	a0e7f6e2	753ff74fa9294f695aae511ae01ead119b114a57	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	lastblad	lb_v3.rom	\N	\N	4194304	a506e1e2	b3e04ba1a5cb50b77c6fbe9fe353b9b64b6f3f74	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	lastblad	lb_v4.rom	\N	\N	2097152	13583c4b	8b84dd4117bb0d535f30531499621622967b2344	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	lastrsrt	\N	\N	\N	\N	\N	Last Resort [sound only]	1992	SNK	\N	\N	\N	
game_rom	Hoot_20011002	lastrsrt	n046001a.1f8	\N	\N	524288	0722da38	66a9b463d5277908b3a01c03de82b3de9118f2cb	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	lastrsrt	n046001a.1fc	\N	\N	524288	670ce3ec	9004aa85d4a9b0ecf9cf9357b073ed55a98fdb02	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	lastrsrt	n046001a.4f8	\N	\N	131072	cec19742	ab6c6ba7737e68d2420a0617719c6d4c89039c45	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	lastrsrt	n046001b.1f8	\N	\N	524288	2e39462b	b0a9b1a3377bf0369f3020192505c46ca52927d6	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	lastrsrt	n046001b.1fc	\N	\N	524288	7944754f	d42a46c5127c6c62041ebffb0007af8a24abd360	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	lgtnfght	\N	\N	\N	\N	\N	Lightning Fighters [sound only]	1990	Konami	\N	\N	\N	
game_rom	Hoot_20011002	lgtnfght	939a04.c5	\N	\N	524288	c24e2b6e	affc142883c2383afd08dcf156e48709ceca49fd	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	lgtnfght	939e01.d7	\N	\N	32768	4a5fc848	878825e07c2718b7c923ad7c77daddf18cb28beb	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	liblrabl	\N	\N	\N	\N	\N	Libble Rabble [sound only]	1983	Namco	\N	\N	\N	
game_rom	Hoot_20011002	liblrabl	2c.rom	\N	\N	8192	7c09e50a	5f004d60bbb7355e008a9cda137b28bc2192b8ef	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	liblrabl	lr1-4.3d	\N	\N	256	16a9166a	847cbaf7c88616576c410177e066ae1d792ac0ba	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	lifefrcj	\N	\N	\N	\N	\N	Life Force [sound only]	1986	Konami	\N	\N	\N	
game_rom	Hoot_20011002	lifefrcj	587-n01.bin	\N	\N	131072	09fe0632	4c3b29c623d70bbe8a938a0beb4638912c46fb6a	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	lifefrcj	587-n09.bin	\N	\N	32768	e8496150	c7d40b6dc56849dfd8d080f1aaebad36c88d93df	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	liquidk	\N	\N	\N	\N	\N	Liquid Kids [sound only]	1990	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	liquidk	lk_snd.bin	\N	\N	524288	474d45a4	20cb818d753a185973098007e645f1aa75c5528d	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	liquidk	lq08.bin	\N	\N	65536	413c310c	cecb1c0c9fe3c8b744f95ce29009650a289107ab	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	mahoudai	\N	\N	\N	\N	\N	Mahou Daisakusen [sound only]	1993	Raizing (Able license)	\N	\N	\N	
game_rom	Hoot_20011002	mahoudai	ra_ma_01.02	\N	\N	65536	eabfa46d	402c99ebf88f9025f74f0a28ced22b7882a65eb3	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mahoudai	ra_ma_01.06	\N	\N	262144	6edb2ab8	e3032e8eda2686f30df4b7a088c5a4d4d45782ed	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	majuu	\N	\N	\N	\N	\N	Majuu No Ohkoku [sound only]	1987	Konami	\N	\N	\N	
game_rom	Hoot_20011002	majuu	dw-ic5a.rom	\N	\N	131072	d4992dfb	c65bef07b6adb9ab6328d679595450945dbf6a88	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	majuu	dw-ic7c.rom	\N	\N	131072	e5947501	9ec7319bd97711981db60af6f477c2ba2ec7e6b8	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	majuu	dw-m03.rom	\N	\N	32768	7201983c	06d089406d2f702e8d51ffdfbf34e4727a28d506	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	mappy	\N	\N	\N	\N	\N	Mappy [sound only]	1983	Namco	\N	\N	\N	
game_rom	Hoot_20011002	mappy	mappy.spr	\N	\N	256	16a9166a	847cbaf7c88616576c410177e066ae1d792ac0ba	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mappy	mappy1k.64	\N	\N	8192	8182dd5b	f36b57f7f1e79f00b3f07afe1960bca5f5325ee2	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	marvland	\N	\N	\N	\N	\N	Marvel Land [sound only]	1989	Namco	\N	\N	\N	
game_rom	Hoot_20011002	marvland	mv1-snd0.bin	\N	\N	131072	51b8ccd7	5aacb020c12d9a3c43c098f3abd8358bc18acc64	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	marvland	mv1-voi1.bin	\N	\N	524288	de5cac09	2d73e54c4f159e52db2c403a59d6c137cce6f53e	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	megablst	\N	\N	\N	\N	\N	Mega Blaster [sound only]	1989	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	megablst	c11-01	\N	\N	524288	fd1ea532	481698b747a421a17bfb8cef96065712d4f3997f	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	megablst	c11-02	\N	\N	524288	451cc187	a682f70bbe6cba2fe2c0a6791e8d33db34eb2cee	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	megablst	c11-12	\N	\N	65536	b11094f1	a01e9f7d1f616bb379eaa85ad81b94173b067782	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	mercs	\N	\N	\N	\N	\N	Mercs [sound only]	1990	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	mercs	so2_09.rom	\N	\N	65536	d09d7c7a	8e8532be08818c855d9c3ce45716eb07cfab5767	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mercs	so2_18.rom	\N	\N	131072	bbea1643	d43d68a120550067bf0b181f88687ad230cd7908	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mercs	so2_19.rom	\N	\N	131072	ac58aa71	93102272e358bc49d3936302efdc5bb68df84d68	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	metalb	\N	\N	\N	\N	\N	Metal Black [sound only]	1991	Taito Corporation	\N	\N	\N	
game_rom	Hoot_20011002	metalb	d12-02.10	\N	\N	1048576	79263e74	f9ef222239855d593b5855dbf9ea0376ea349c4b	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	metalb	d12-05.16	\N	\N	524288	7fd036c5	f412c6302cfba73df110943d7d6679dc908479f7	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	metalb	d12-13.5	\N	\N	131072	bcca2649	d932134416c951d849ae41598f75609d453ed520	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	metlhawk	\N	\N	\N	\N	\N	Metal Hawk [sound only]	1988	Namco	\N	\N	\N	
game_rom	Hoot_20011002	metlhawk	mh1s0.7j	\N	\N	131072	79e054cf	934a15a1bdb2751f28cc23471d1c5e5b9af80815	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	metlhawk	mhvoi-1.bin	\N	\N	524288	2723d137	f67334f8e456ae9e6aee39f0cf5e73449838f37f	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	metlhawk	mhvoi-2.bin	\N	\N	524288	dbc92d91	a8c50f607d5283c8bd9688d2149b811e7ddb77dd	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	metrocrs	\N	\N	\N	\N	\N	Metrocross [sound only]	1985	Namco	\N	\N	\N	
game_rom	Hoot_20011002	metrocrs	mc1-4.3b	\N	\N	8192	9c88f898	d6d0345002b70c5aca41c664f34181715cd87669	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	metrocrs	pl1-mcu.bin	\N	\N	4096	6ef08fb3	4842590d60035a0059b0899eb2d5f58ae72c2529	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	mia	\N	\N	\N	\N	\N	Missing in Action [sound only]	1989	Konami	\N	\N	\N	
game_rom	Hoot_20011002	mia	808d01.d4	\N	\N	131072	fd4d37c0	ef91c6e7bb57c27a9a51729fffd1bfe3e806fb61	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mia	808e03.f4	\N	\N	32768	3d93a7cd	dcdd327e78f32436b276d0666f62a5b733b296e8	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	mirninja	\N	\N	\N	\N	\N	Mirai Ninja [sound only]	1988	Namco	\N	\N	\N	
game_rom	Hoot_20011002	mirninja	mn_snd0.bin	\N	\N	131072	6aa1ae84	2186f93c4ccc4c202fa14d80b440060237659fc5	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mirninja	mn_voi1.bin	\N	\N	524288	2ca3573c	b2af101730de4ccc68acc1ed143c21a8c81f64db	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mirninja	mn_voi2.bin	\N	\N	524288	466c3b47	9c282ffda8b0620ae60789c81c6e36c086a9a335	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	misticw	\N	\N	\N	\N	\N	Mystic Warriors [sound only]	1993	Konami	\N	\N	\N	
game_rom	Hoot_20011002	misticw	adpcm.a06	\N	\N	2097152	88ed598c	3c123e26b3a12541df77b368bc0e0d486f5622b6	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	misticw	adpcm.a07	\N	\N	2097152	db79a66e	b7e118ed26bac557038e8ae6cb77f23f3da5646f	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	misticw	sndprog.a05	\N	\N	131072	0e5194e0	83356158d561f1b8e21f6ae5936b61da834a0545	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	mmatrix	\N	\N	\N	\N	\N	Mars Matrix [sound only]	2000	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	mmatrix	mmx.01	\N	\N	131072	c57e8171	dedb92af1910d38727f816e6f507d25148f31b74	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mmatrix	mmx.11m	\N	\N	4194304	4180b39f	cabb1c358eae1bb6cfed07f5b92e4acd38650667	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mmatrix	mmx.12m	\N	\N	4194304	95e22a59	b3431d170c0a1a0d826ad0af21300b9180e3f114	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	mmaze	\N	\N	\N	\N	\N	Maerchen Maze [sound only]	1988	Namco	\N	\N	\N	
game_rom	Hoot_20011002	mmaze	mm.sd0	\N	\N	65536	25d25e07	b2293bfc380fd767ac2a51e8b32e24bbea866be2	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mmaze	mm.sd1	\N	\N	65536	2c5849c8	1073719c9f4d4e41cbfd7c749bff42a0be460baf	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mmaze	ns1-mcu.bin	\N	\N	4096	ffb5c0bd	7a38c0cc2553c627f4ec507fb6e807cf7d537c02	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	mrviking	\N	\N	\N	\N	\N	Mr. Viking [sound only]	1984	Sega	\N	\N	\N	
game_rom	Hoot_20011002	mrviking	epr-5763.bin	\N	\N	8192	d712280d	8393dfb57d9af22b3280ecaef736b6f9d856dbee	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	msh	\N	\N	\N	\N	\N	Marvel Super Heroes [sound only]	1995	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	msh	msh.01	\N	\N	131072	c976e6f9	281025e5aaf97c0aeddc8bd0f737d092daadad9e	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	msh	msh.02	\N	\N	131072	ce67d0d9	324226597cc5a11603f04085fef7715a314ecc05	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	msh	msh.11	\N	\N	2097152	37ac6d30	ec67421fbf4a08a686e76792cb35e9cbf04d022d	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	msh	msh.12	\N	\N	2097152	de092570	a03d0df901f6ea79685eaed67db65bee14ec29c6	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	mshvsf	\N	\N	\N	\N	\N	Marvel Super Heroes vs Street Fighter [sound only]	1997	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	mshvsf	mvs.01	\N	\N	131072	68252324	138ef320ef27956b2ab5591d49a1315b7b0a194c	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mshvsf	mvs.02	\N	\N	131072	b34e773d	3bcf44bf06c35814cff29d244142db7abe05bd39	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mshvsf	mvs.11	\N	\N	4194304	86219770	4e5b68d382a5aa37f8b0b6434c53a2b95f5f9a4d	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mshvsf	mvs.12	\N	\N	4194304	f2fd7f68	28a30d55d3eaf963006c7cbe7c288099cd3ba536	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	mslug	\N	\N	\N	\N	\N	Metal Slug [sound only]	1996	Nazca	\N	\N	\N	
game_rom	Hoot_20011002	mslug	mslug_m1.rom	\N	\N	131072	c28b3253	fd75bd15aed30266a8b3775f276f997af57d1c06	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mslug	mslug_v1.rom	\N	\N	4194304	23d22ed1	cd076928468ad6bcc5f19f88cb843ecb5e660681	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mslug	mslug_v2.rom	\N	\N	4194304	472cf9db	5f79ea9286d22ed208128f9c31ca75552ce08b57	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	mslug2	\N	\N	\N	\N	\N	Metal Slug 2 [sound only]	1998	SNK	\N	\N	\N	
game_rom	Hoot_20011002	mslug2	ms2_m1.rom	\N	\N	131072	94520ebd	f8a1551cebcb91e416f30f50581feed7f72899e9	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mslug2	ms2_v1.rom	\N	\N	4194304	99ec20e8	80597707f1fe115eed1941bb0701fc00790ad504	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mslug2	ms2_v2.rom	\N	\N	4194304	ecb16799	b4b4ddc680836ed55942c66d7dfe756314e02211	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	msword	\N	\N	\N	\N	\N	Magic Swords [sound only]	1990	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	msword	ms_18.rom	\N	\N	131072	fb64e90d	d1a596ce2f8ac14a80b34335b173369a14b45f55	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	msword	ms_19.rom	\N	\N	131072	74f892b9	bf48db5c438154e7b96fd31fde1be4aad5cf25eb	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	msword	ms_9.rom	\N	\N	65536	57b29519	a6b4fc2b9595d1a49f2b93581f107b68d484d156	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	mtwins	\N	\N	\N	\N	\N	Magical Twins [sound only]	1990	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	mtwins	ch_09.rom	\N	\N	65536	4d4255b7	81a76b58043af7252a854b7efc4109957ef0e679	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mtwins	ch_18.rom	\N	\N	131072	f909e8de	2dd5bd4076e7d5ded98b72919f868ea700df2e4f	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mtwins	ch_19.rom	\N	\N	131072	fc158cf7	294b93d0aea60663ffe96364671552e944a1264b	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	mvc	\N	\N	\N	\N	\N	Marvel Vs Capcom [sound only]	1998	Capcom	\N	\N	\N	
game_rom	Hoot_20011002	mvc	mvc.01	\N	\N	131072	41629e95	36925c05b5fdcbe43283a882d021e5360c947061	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mvc	mvc.02	\N	\N	131072	963abf6b	6b784870e338701cefabbbe4669984b5c4e8a9a5	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mvc	mvc.11	\N	\N	4194304	850fe663	81e519d05a08855f242ea2e17ee0859b449db895	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mvc	mvc.12	\N	\N	4194304	7ccb1896	74caadf3282fcc6acffb1bbe3734106f81124121	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	mvp	\N	\N	\N	\N	\N	MVP [sound only]	1989	Sega	\N	\N	\N	
game_rom	Hoot_20011002	mvp	13001.rom	\N	\N	262144	e8cace8c	5f47b935d927f2aa5f7a5f6dc52f5380baebe1bb	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	mvp	13002.rom	\N	\N	32768	1b6e1515	1816d48dcb1bfd819a2cfa55fb51e1ca04ad4feb	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	myhero	\N	\N	\N	\N	\N	My Hero [sound only]	1985	Sega	\N	\N	\N	
game_rom	Hoot_20011002	myhero	epr69xx.120	\N	\N	8192	0039e1e9	ead2e8a8a518da5ac6ccd5cd6db4cf167ea47c76	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	myheroj	\N	\N	\N	\N	\N	My Hero (Japan) [sound only]	1985	Sega	\N	\N	\N	
game_rom	Hoot_20011002	myheroj	mhj_boot.08	\N	\N	8192	af467223	d79a67e761fe483407cad645dd3b93d86e8790e3	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	ncombat	\N	\N	\N	\N	\N	Ninja Combat [sound only]	1990	Alpha Denshi Co.	\N	\N	\N	
game_rom	Hoot_20011002	ncombat	ncom_m1.rom	\N	\N	131072	b5819863	6f2309d51531052dbf7d712993c9e35649db0d84	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ncombat	ncom_v11.rom	\N	\N	524288	cf32a59c	af5b7fcd8a4aff1307c0a1d937e5f0460c32de79	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ncombat	ncom_v12.rom	\N	\N	524288	7b3588b7	a4e6d9d4113ff4ce48b371f65e9187d551821d3b	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ncombat	ncom_v13.rom	\N	\N	524288	505a01b5	9426a4f5b31e16f74e72e61951c189a878f211c5	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	ncombat	ncom_v21.rom	\N	\N	524288	365f9011	aebd292214ab280b05ee9e759b7e9a681a099c4a	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	nemesis	\N	\N	\N	\N	\N	Nemesis [sound only]	1985	Konami	\N	\N	\N	
game_rom	Hoot_20011002	nemesis	09c_snd.bin	\N	\N	16384	26bf9636	009dcbf18ea6230fc75a72232bd4fc29ad28dbf0	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	nemesis	400-a01.fse	\N	\N	256	5827b1e8	fa8cf5f868cfb08bce203baaebb6c4055ee2a000	\N	\N	\N	\N	\N	\N	
game_rom	Hoot_20011002	nemesis	400-a02.fse	\N	\N	256	2f44f970	7ab46f9d5d587665782cefc623b8de0124a6d38a	\N	\N	\N	\N	\N	\N	
game	Hoot_20011002	nemo	\N	\N	\N	\N	\N	Nemo [sound only]	1990	Capcom	\N	\N	\N	
