game	MMSnd_v0.36b10	4dwarrio	\N	\N	\N	\N	\N	4D Warriors [sound only]	1985	Coreland / Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	thundbus	ic012.bin	\N	\N	131072	70d3f02c	391aac2bc5673e06150de27e19c7c6359da8ca82	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	thundbus	ic013.bin	\N	\N	131072	50d9242e	a106371bf680c3088ec61f07fc5c4ce467973c15	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	thunderb	\N	\N	\N	\N	\N	Thunder Blade (Japan) [sound only]	1987	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	thunderb	epr11312.bin	\N	\N	65536	3b974ed2	cf18a2d0f01643c747a884bf00e5b7037ba2e64a	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	thunderb	epr11317.bin	\N	\N	131072	d4e7ac1f	ec5d6e4949938adf56e5613801ae56ff2c3dede5	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	thunderb	epr11318.bin	\N	\N	131072	70d3f02c	391aac2bc5673e06150de27e19c7c6359da8ca82	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	thunderb	epr11319.bin	\N	\N	131072	4a053070	\N	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	timscanr	\N	\N	\N	\N	\N	Time Scanner [sound only]	1987	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	timscanr	ts10562.bin	\N	\N	32768	3f5028bf	02081569a5f4dc64771e97651a9902a98d54a952	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	tokisen	\N	\N	\N	\N	\N	Toki no Senshi - Chrono Soldier [sound only]	1987	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	tokisen	epr10967.126	\N	\N	32768	97966bf2	b5a3d36afbb3d6e2e2e2c121609a30dc080ccf13	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	tuoutrun	\N	\N	\N	\N	\N	Turbo Outrun [sound only]	1989	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	tuoutrun	tor300	\N	\N	65536	e8ff7011	6eaf3aea507007ea31d507ed7825d905f4b8e7ab	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	tuoutrun	tor301	\N	\N	65536	6e78ad15	c31ddf434b459cd1a381d2a028beabddd4ed10d2	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	tuoutrun	tor302	\N	\N	65536	e72928af	40e0b178958cfe97c097fe9d82b5de54bc27a29f	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	tuoutrun	tor303	\N	\N	65536	8384205c	c1f9d52bc587eab5a97867198e9aa7c19e973429	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	tuoutrun	tor304	\N	\N	65536	e1762ac3	855f06c082a17d90857e6efa3cf95b0eda0e634d	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	tuoutrun	tor305	\N	\N	65536	ba9ce677	056781f92450c902e1d279a02bda28337815cba9	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	tuoutrun	tor306	\N	\N	65536	e49249fd	ff36e4dba4e9d3d354e3dd528edeb50ad9c18ee4	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	ufoyoko	\N	\N	\N	\N	\N	Ufo Senshi Yohko Chan [sound only]	1988	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	ufoyoko	11667	\N	\N	32768	110baba9	e14cf5af11ac9691eca897bbae7c238665cd2a4d	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	upndown	\N	\N	\N	\N	\N	Up'n Down [sound only]	1983	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	upndown	upnd5528.bin	\N	\N	8192	00cd44ab	7f5385aa0773681329a4759b0fa6f975e3de6755	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	vulcan	\N	\N	\N	\N	\N	Vulcan Venture [sound only]	1988	Konami	\N	\N	\N	
game_rom	MMSnd_v0.36b10	vulcan	vulcan.g03	\N	\N	32768	67a3b50d	3c83f3b0df73d9361ec3cda26a6c4c603a088419	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	vulcan	vulcan.f01	\N	\N	131072	a0d8d69e	2994e5740b7c099d55fb162a363a26ef1995c756	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	vulcan	vulcan.f02	\N	\N	131072	c39f5ca4	92ebea11b7d3a72d0f58c456f16a6ff36d6b3062	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	warriorb	\N	\N	\N	\N	\N	Warrior Blade [sound only]	1991	Taito Corporation	\N	\N	\N	
game_rom	MMSnd_v0.36b10	warriorb	d24-09.bin	\N	\N	1048576	ece5cc59	337db41d5a74fa4202b1be1a672a068ec3b205a8	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	warriorb	d24-10.bin	\N	\N	1048576	0e0c716d	5e2f334dd484678766c5a71196d9bad0ba0fe8d9	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	warriorb	d24-11.bin	\N	\N	1048576	15362573	8602c9f24134cac6fe1375fb189b152f0c68aeb7	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	warriorb	d24-12.bin	\N	\N	1048576	279203a1	ed75e811a1f0863c134034457ce2e97372726bdb	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	warriorb	d24-17.bin	\N	\N	131072	e41e4aae	9bf40b6e8aa5c6ec62c5d21edbb2214f6550c94f	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	wb3bl	\N	\N	\N	\N	\N	Wonder Boy III - Monster Lair [sound only]	1988	Sega / Westone	\N	\N	\N	
game_rom	MMSnd_v0.36b10	wb3bl	a07.bin	\N	\N	32768	0bb901bb	c81b198df8e3b0ec568032c76addf0d1a1711194	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	wbdeluxe	\N	\N	\N	\N	\N	Wonder Boy Deluxe [sound only]	1986	Sega (Escape license)	\N	\N	\N	
game_rom	MMSnd_v0.36b10	wbdeluxe	epra7498.120	\N	\N	8192	c198205c	d2d5cd154ce6a5a3c6a099b4ab2ea7cc045ab0a1	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	wbmland	\N	\N	\N	\N	\N	Wonder Boy in Monster Land [sound only]	1987	Sega / Westone	\N	\N	\N	
game_rom	MMSnd_v0.36b10	wbmland	11037	\N	\N	32768	7a4ee585	050436106cced5dcbf40a3d94d48202eedddc3ad	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	wboy	\N	\N	\N	\N	\N	Wonder Boy [sound only]	1986	Sega (Escape license)	\N	\N	\N	
game_rom	MMSnd_v0.36b10	wboy	ic120_98.bin	\N	\N	8192	78ae1e7b	86032f443359b0bb2766e33024ed2e320aa9bc84	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	wecleman	\N	\N	\N	\N	\N	WEC Le Mans 24 [sound only]	1986	Konami	\N	\N	\N	
game_rom	MMSnd_v0.36b10	wecleman	602a01.6d	\N	\N	32768	deafe5f1	4cfbe2841233b1222c22160af7287b7a7821c3a0	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	wecleman	602a02.8a	\N	\N	131072	e2be10ae	109c31bf7252c83a062d259143cd8299681db778	\N	\N	\N	\N	\N	\N	
game_rom	MMSnd_v0.36b10	wecleman	602a03.10a	\N	\N	131072	31392b01	0424747bc2015c9c93afd20e6a23083c0dcc4fb7	\N	\N	\N	\N	\N	\N	
game	MMSnd_v0.36b10	wrestwar	\N	\N	\N	\N	\N	Wrestle War [sound only]	1989	Sega	\N	\N	\N	
game_rom	MMSnd_v0.36b10	wrestwar	ww.a10	\N	\N	32768	c3609607	2e0acb775c60851bf0b2037b91b07ead061d5862	\N	\N	\N	\N	\N	\N	
